player	bowl	selection	confidence
JPearce	Liberty	Arkansas	30
JPearce	Military	Duke	3
JPearce	Music City	Kentucky	22
JPearce	Myrtle Beach	Marshall	23
JPearce	Championship	Georgia	42
JPearce	New Mexico	BYU	12
JPearce	New Orleans	South Alabama	34
JPearce	Orange	Clemson	26
JPearce	Peach (Semis)	Georgia	41
JPearce	Pinstripe	Minnesota	31
JPearce	Potato	San José State	19
JPearce	Quick Lane	Bowling Green	7
JPearce	ReliaQuest	Illinois	10
JPearce	Rose	Utah	15
JPearce	Sugar	Alabama	29
JPearce	Sun 	UCLA	36
JPearce	Texas	Ole Miss	27
Peter	Alamo	Washington	15
Peter	Arizona	Ohio	8
Peter	Armed Forces	Air Force	10
Peter	Bahamas	Miami (OH)	22
Peter	Birmingham	East Carolina	28
Peter	Boca Raton	Liberty	5
Peter	Camellia	Georgia Southern	36
Peter	Cheez-It	Florida State	27
Peter	Citrus	LSU	29
Peter	Cotton	USC	30
Peter	Cure	Troy	1
Peter	Duke's Mayo	Maryland	19
Peter	Fenway	Cincinnati	2
Peter	Fiesta (Semis)	TCU	40
Peter	First Responder	Memphis	37
Peter	Frisco	Boise State	34
Peter	Gasparilla	Missouri	11
Peter	Gator	South Carolina	7
Peter	Guaranteed Rate	Wisconsin	14
Peter	Hawai'i	Middle Tennessee	12
Peter	Holiday	Oregon	39
Peter	Independence	Louisiana	18
Peter	Jimmy Kimmel L.A.	Fresno State	4
Peter	Las Vegas	Oregon State	33
Peter	LendingTree	Southern Miss	32
Peter	Liberty	Kansas	13
Peter	Military	Duke	6
Peter	Music City	Kentucky	21
Peter	Myrtle Beach	Marshall	35
Peter	Championship	Georgia	42
Peter	New Mexico	BYU	17
Peter	New Orleans	South Alabama	24
Peter	Orange	Tennessee	16
Peter	Peach (Semis)	Georgia	41
Peter	Pinstripe	Minnesota	26
Peter	Potato	San José State	23
Peter	Quick Lane	Bowling Green	3
Peter	ReliaQuest	Illinois	9
Peter	Rose	Utah	31
Peter	Sugar	Alabama	38
Peter	Sun 	UCLA	20
Peter	Texas	Ole Miss	25
