player	bowl	selection	confidence
Alex	Alamo	Oregon	1
Alex	Arizona	Boise State	39
Alex	Armed Forces	Army	18
Alex	Bahamas	Toledo	37
Alex	Birmingham	Auburn	14
Alex	Boca Raton	Appalachian State	33
Alex	Camellia	Ball State	16
Alex	Cheez-It	Clemson	10
Alex	Citrus	Kentucky	7
Alex	Cotton (Semis)	Alabama	42
Alex	Cure	Coastal Carolina	38
Alex	Duke's Mayo	North Carolina	32
Alex	Famous Idaho Potato	Wyoming	21
Alex	Fenway	Virginia	12
Alex	Fiesta	Oklahoma State	9
Alex	First Responder	Louisville	11
Alex	Frisco	San Diego State	19
Alex	Frisco Classic	North Texas	23
Alex	Gasparilla	Florida	25
Alex	Guaranteed Rate	Minnesota	29
Alex	Hawai'i	Memphis	22
Alex	Holiday	NC State	15
Alex	Independence	BYU	35
Alex	LA	Utah State	26
Alex	Las Vegas	Wisconsin	31
Alex	LendingTree	Liberty	34
Alex	Liberty	Mississippi State	36
Alex	Military	East Carolina	2
Alex	Music City	Tennessee	4
Alex	Myrtle Beach	Tulsa	28
Alex	Championship	Alabama	43
Alex	New Mexico	Fresno State	40
Alex	New Orleans	Louisiana	24
Alex	Orange (Semis)	Georgia	41
Alex	Outback	Penn State	20
Alex	Peach	Michigan State	3
Alex	Pinstripe	Virginia Tech	17
Alex	Quick Lane	Nevada	27
Alex	Rose	Ohio State	30
Alex	Sugar	Baylor	8
Alex	Gator	Wake Forest	5
Alex	Texas	Kansas State	6
Alex	Sun	Miami (FL)	13
Caroline	Alamo	Oregon	32
Caroline	Arizona	Boise State	40
Caroline	Armed Forces	Missouri	3
Caroline	Bahamas	Toledo	2
Caroline	Birmingham	Auburn	9
Caroline	Boca Raton	Western Kentucky	4
Caroline	Camellia	Georgia State	6
Caroline	Cheez-It	Iowa State	5
Caroline	Citrus	Iowa	36
Caroline	Cotton (Semis)	Alabama	42
Caroline	Cure	Coastal Carolina	39
Caroline	Duke's Mayo	North Carolina	25
Caroline	Famous Idaho Potato	Wyoming	12
Caroline	Fenway	Virginia	28
Caroline	Fiesta	Oklahoma State	11
Caroline	First Responder	Louisville	16
Caroline	Frisco	UTSA	38
Caroline	Frisco Classic	North Texas	15
Caroline	Gasparilla	UCF	8
Caroline	Guaranteed Rate	West Virginia	7
Caroline	Hawai'i	Hawai'i	21
Caroline	Holiday	NC State	27
Caroline	Independence	BYU	19
Caroline	LA	Oregon State	30
Caroline	Las Vegas	Wisconsin	31
Caroline	LendingTree	Liberty	17
Caroline	Liberty	Mississippi State	33
Caroline	Military	Boston College	20
Caroline	Music City	Purdue	23
Caroline	Myrtle Beach	Tulsa	18
Caroline	Championship	Georgia	43
Caroline	New Mexico	Fresno State	29
Caroline	New Orleans	Marshall	1
Caroline	Orange (Semis)	Georgia	41
Caroline	Outback	Penn State	34
Caroline	Peach	Michigan State	24
Caroline	Pinstripe	Virginia Tech	14
Caroline	Quick Lane	Nevada	22
Caroline	Rose	Ohio State	37
Caroline	Sugar	Baylor	35
Caroline	Gator	Texas A&M	26
Caroline	Texas	Kansas State	13
Caroline	Sun	Miami (FL)	10
Derick	Alamo	Oklahoma	9
Derick	Arizona	Boise State	34
Derick	Armed Forces	Army	39
Derick	Bahamas	Toledo	21
Derick	Birmingham	Houston	18
Derick	Boca Raton	Western Kentucky	2
Derick	Camellia	Georgia State	19
Derick	Cheez-It	Iowa State	6
Derick	Citrus	Kentucky	37
Derick	Cotton (Semis)	Alabama	42
Derick	Cure	Coastal Carolina	20
Derick	Duke's Mayo	South Carolina	10
Derick	Famous Idaho Potato	Kent State	1
Derick	Fenway	Virginia	7
Derick	Fiesta	Oklahoma State	12
Derick	First Responder	Louisville	15
Derick	Frisco	UTSA	30
Derick	Frisco Classic	North Texas	5
Derick	Gasparilla	UCF	8
Derick	Guaranteed Rate	Minnesota	35
Derick	Hawai'i	Memphis	14
Derick	Holiday	NC State	27
Derick	Independence	BYU	40
Derick	LA	Oregon State	38
Derick	Las Vegas	Wisconsin	28
Derick	LendingTree	Liberty	4
Derick	Liberty	Mississippi State	24
Derick	Military	Boston College	31
Derick	Music City	Tennessee	25
Derick	Myrtle Beach	Tulsa	23
Derick	Championship	Michigan	43
Derick	New Mexico	Fresno State	36
Derick	New Orleans	Louisiana	22
Derick	Orange (Semis)	Michigan	41
Derick	Outback	Arkansas	17
Derick	Peach	Michigan State	13
Derick	Pinstripe	Virginia Tech	29
Derick	Quick Lane	Nevada	16
Derick	Rose	Ohio State	3
Derick	Sugar	Baylor	11
Derick	Gator	Texas A&M	32
Derick	Texas	LSU	26
Derick	Sun	Washington State	33
Harper	Alamo	Oklahoma	27
Harper	Arizona	Boise State	40
Harper	Armed Forces	Army	19
Harper	Bahamas	Toledo	38
Harper	Birmingham	Houston	8
Harper	Boca Raton	Appalachian State	18
Harper	Camellia	Georgia State	22
Harper	Cheez-It	Clemson	15
Harper	Citrus	Iowa	17
Harper	Cotton (Semis)	Alabama	42
Harper	Cure	Coastal Carolina	39
Harper	Duke's Mayo	North Carolina	30
Harper	Famous Idaho Potato	Wyoming	25
Harper	Fenway	Virginia	12
Harper	Fiesta	Notre Dame	16
Harper	First Responder	Air Force	14
Harper	Frisco	San Diego State	9
Harper	Frisco Classic	Miami (OH)	29
Harper	Gasparilla	UCF	4
Harper	Guaranteed Rate	Minnesota	31
Harper	Hawai'i	Memphis	26
Harper	Holiday	NC State	20
Harper	Independence	BYU	36
Harper	LA	Utah State	2
Harper	Las Vegas	Wisconsin	34
Harper	LendingTree	Liberty	32
Harper	Liberty	Mississippi State	37
Harper	Military	Boston College	23
Harper	Music City	Tennessee	10
Harper	Myrtle Beach	Tulsa	33
Harper	Championship	Georgia	43
Harper	New Mexico	UTEP	1
Harper	New Orleans	Marshall	5
Harper	Orange (Semis)	Georgia	41
Harper	Outback	Penn State	28
Harper	Peach	Michigan State	7
Harper	Pinstripe	Virginia Tech	24
Harper	Quick Lane	Western Michigan	3
Harper	Rose	Ohio State	35
Harper	Sugar	Baylor	11
Harper	Gator	Wake Forest	6
Harper	Texas	LSU	21
Harper	Sun	Washington State	13
Jamie	Alamo	Oklahoma	19
Jamie	Arizona	Boise State	39
Jamie	Armed Forces	Missouri	5
Jamie	Bahamas	Toledo	38
Jamie	Birmingham	Auburn	13
Jamie	Boca Raton	Appalachian State	12
Jamie	Camellia	Ball State	16
Jamie	Cheez-It	Clemson	10
Jamie	Citrus	Iowa	7
Jamie	Cotton (Semis)	Alabama	41
Jamie	Cure	Northern Illinois	31
Jamie	Duke's Mayo	North Carolina	26
Jamie	Famous Idaho Potato	Kent State	15
Jamie	Fenway	SMU	2
Jamie	Fiesta	Notre Dame	8
Jamie	First Responder	Louisville	9
Jamie	Frisco	UTSA	6
Jamie	Frisco Classic	Miami (OH)	18
Jamie	Gasparilla	Florida	27
Jamie	Guaranteed Rate	Minnesota	30
Jamie	Hawai'i	Hawai'i	23
Jamie	Holiday	NC State	21
Jamie	Independence	UAB	32
Jamie	LA	Oregon State	28
Jamie	Las Vegas	Wisconsin	36
Jamie	LendingTree	Eastern Michigan	33
Jamie	Liberty	Mississippi State	37
Jamie	Military	East Carolina	14
Jamie	Music City	Purdue	11
Jamie	Myrtle Beach	Tulsa	34
Jamie	Championship	Alabama	43
Jamie	New Mexico	Fresno State	40
Jamie	New Orleans	Marshall	25
Jamie	Orange (Semis)	Georgia	42
Jamie	Outback	Penn State	29
Jamie	Peach	Michigan State	17
Jamie	Pinstripe	Virginia Tech	22
Jamie	Quick Lane	Western Michigan	20
Jamie	Rose	Ohio State	35
Jamie	Sugar	Ole Miss	3
Jamie	Gator	Wake Forest	24
Jamie	Texas	LSU	4
Jamie	Sun	Washington State	1
JBrown	Alamo	Oregon	9
JBrown	Arizona	Boise State	29
JBrown	Armed Forces	Missouri	7
JBrown	Bahamas	Middle Tennessee	1
JBrown	Birmingham	Auburn	16
JBrown	Boca Raton	Appalachian State	10
JBrown	Camellia	Georgia State	5
JBrown	Cheez-It	Iowa State	35
JBrown	Citrus	Kentucky	13
JBrown	Cotton (Semis)	Cincinnati	42
JBrown	Cure	Coastal Carolina	40
JBrown	Duke's Mayo	North Carolina	11
JBrown	Famous Idaho Potato	Kent State	17
JBrown	Fenway	SMU	30
JBrown	Fiesta	Oklahoma State	22
JBrown	First Responder	Louisville	15
JBrown	Frisco	San Diego State	3
JBrown	Frisco Classic	Miami (OH)	25
JBrown	Gasparilla	Florida	26
JBrown	Guaranteed Rate	Minnesota	38
JBrown	Hawai'i	Hawai'i	6
JBrown	Holiday	NC State	21
JBrown	Independence	BYU	18
JBrown	LA	Oregon State	34
JBrown	Las Vegas	Wisconsin	37
JBrown	LendingTree	Liberty	19
JBrown	Liberty	Mississippi State	39
JBrown	Military	Boston College	33
JBrown	Music City	Tennessee	20
JBrown	Myrtle Beach	Tulsa	27
JBrown	Championship	Cincinnati	43
JBrown	New Mexico	UTEP	2
JBrown	New Orleans	Marshall	8
JBrown	Orange (Semis)	Georgia	41
JBrown	Outback	Penn State	36
JBrown	Peach	Michigan State	24
JBrown	Pinstripe	Maryland	14
JBrown	Quick Lane	Nevada	4
JBrown	Rose	Ohio State	32
JBrown	Sugar	Ole Miss	28
JBrown	Gator	Texas A&M	31
JBrown	Texas	LSU	12
JBrown	Sun	Washington State	23
Jeremy	Alamo	Oregon	4
Jeremy	Arizona	Boise State	39
Jeremy	Armed Forces	Missouri	9
Jeremy	Bahamas	Toledo	37
Jeremy	Birmingham	Auburn	22
Jeremy	Boca Raton	Appalachian State	21
Jeremy	Camellia	Ball State	6
Jeremy	Cheez-It	Clemson	15
Jeremy	Citrus	Kentucky	11
Jeremy	Cotton (Semis)	Alabama	42
Jeremy	Cure	Coastal Carolina	38
Jeremy	Duke's Mayo	South Carolina	3
Jeremy	Famous Idaho Potato	Wyoming	24
Jeremy	Fenway	Virginia	14
Jeremy	Fiesta	Oklahoma State	10
Jeremy	First Responder	Louisville	12
Jeremy	Frisco	UTSA	20
Jeremy	Frisco Classic	Miami (OH)	27
Jeremy	Gasparilla	Florida	29
Jeremy	Guaranteed Rate	Minnesota	30
Jeremy	Hawai'i	Memphis	25
Jeremy	Holiday	NC State	19
Jeremy	Independence	BYU	35
Jeremy	LA	Utah State	1
Jeremy	Las Vegas	Wisconsin	32
Jeremy	LendingTree	Liberty	34
Jeremy	Liberty	Mississippi State	36
Jeremy	Military	East Carolina	7
Jeremy	Music City	Purdue	18
Jeremy	Myrtle Beach	Tulsa	33
Jeremy	Championship	Georgia	43
Jeremy	New Mexico	Fresno State	40
Jeremy	New Orleans	Louisiana	28
Jeremy	Orange (Semis)	Georgia	41
Jeremy	Outback	Arkansas	5
Jeremy	Peach	Pittsburgh	23
Jeremy	Pinstripe	Maryland	8
Jeremy	Quick Lane	Western Michigan	2
Jeremy	Rose	Ohio State	31
Jeremy	Sugar	Ole Miss	16
