name	ID	GAME	LOCATION	MATCHUP	Confidence_Score	team1	team2	team3	team4	pick	game_time	winner	correct
Derick	1	Camellia	Montgomery, Ala.	Bowling Green (7-6) vs. South Alabama (6-6)	4	Bowling Green	South Alabama			South Alabama	12/20/2014  9:15 PM	Bowling Green	0
Derick	1	Idaho Potato	Boise, Idaho	Air Force (9-3) vs. Western Michigan (8-4)	17	Air Force	Western Michigan			Air Force	12/20/2014  5:45 PM	Air Force	1
Derick	1	Royal Purple	Las Vegas, Nev.	Colorado State (10-2) vs. Utah (8-4)	3	Colorado State	Utah			Utah	12/20/2014  3:30 PM	Utah	1
Derick	1	New Mexico	Albuquerque, N.M.	Utah State (9-4) vs. UTEP (7-5)	12	Utah State	UTEP			Utah State	12/20/2014  2:20 PM	Utah State	1
Derick	1	New Orleans	New Orleans, La.	UL Lafayette (8-4) vs. Nevada (7-5)	16	UL Lafayette	Nevada			Nevada	12/20/2014 11:00 AM	UL Lafayette	0
Jeremy	2	Championship	Arlington, Texas	Semifinal winners	1	Alabama	Oregon	Florida State	Ohio State	Florida State	1/12/2015  8:30 PM		
Jeremy	2	Rose	Pasadena, Calif.	No. 2 Oregon (12-1) vs. No. 3 Florida State (13-0)	32	Oregon	Florida State			Oregon	1/1/2015  5:00 PM		
Jeremy	2	Sugar	New Orleans, La.	No. 1 Alabama (12-1) vs. No. 4 Ohio State (12-1)	33	Alabama	Ohio State			Alabama	1/1/2015  8:30 PM		
Jeremy	2	Cotton	Arlington, Texas	Baylor (11-1) vs. Michigan State (10-2)	15	Baylor	Michigan State			Baylor	1/1/2015 12:30 PM		
Jeremy	2	Orange	Miami, Fla.	Georgia Tech (10-3) vs. Mississippi State (10-2)	26	Georgia Tech	Mississippi State			Mississippi State	12/31/2014  8:00 PM		
Jeremy	2	Fiesta	Glendale, Ariz.	Arizona (10-3) vs. Boise State (11-2)	16	Arizona	Boise State			Arizona	12/31/2014  4:00 PM		
Jeremy	2	Peach	Atlanta, Ga.	TCU (11-1) vs. Ole Miss (9-3)	17	TCU	Ole Miss			TCU	12/31/2014 12:30 PM		
Jeremy	2	GoDaddy	Mobile, Ala.	Toledo (8-4) vs. Arkansas State (7-5)	2	Toledo	Arkansas State			Toledo	1/4/2015  9:00 PM		
Jeremy	2	Birmingham	Birmingham, Ala.	Florida (6-5) vs. East Carolina (8-4)	18	Florida	East Carolina			Florida	1/3/2015 12:00 PM		
Jeremy	2	Cactus	Tempe, Ariz.	Oklahoma State (6-6) vs. Washington (8-5)	27	Oklahoma State	Washington			Washington	1/2/2015 10:15 PM		
Jeremy	2	Alamo	San Antonio, Texas	Kansas State (9-3) vs. UCLA (9-3)	19	Kansas State	UCLA			UCLA	1/2/2015  6:45 PM		
Jeremy	2	TaxSlayer	Jacksonville, Fla.	Iowa (7-5) vs. Tennessee (6-6)	3	Iowa	Tennessee			Tennessee	1/2/2015  3:20 PM		
Jeremy	2	Armed Forces	Fort Worth, Texas	Houston (7-5) vs. Pittsburgh (6-6)	4	Houston	Pittsburgh			Pittsburgh	1/2/2015 12:00 PM		
Jeremy	2	Outback	Tampa, Fla.	Wisconsin (10-3) vs. Auburn (8-4)	20	Wisconsin	Auburn			Auburn	1/1/2015 12:00 PM		
Jeremy	2	Citrus	Orlando, Fla.	Minnesota (8-4) vs. Missouri (10-3)	34	Minnesota	Missouri			Missouri	1/1/2015 12:30 PM		
Jeremy	2	Foster Farms	Santa Clara, Calif.	Maryland (7-5) vs. Stanford (7-5)	35	Maryland	Stanford			Stanford	12/30/2014 10:00 PM		
Jeremy	2	Belk	Charlotte, N.C.	Louisville (9-3) vs. Georgia (9-3)	14	Louisville	Georgia			Georgia	12/30/2014  6:45 PM		
Jeremy	2	Music City	Nashville, Tenn.	Notre Dame (7-5) vs. LSU (8-4)	36	Notre Dame	LSU			LSU	12/30/2014  3:00 PM		
Jeremy	2	Texas	Houston, Texas	Texas (6-6) vs. Arkansas (6-6)	37	Texas	Arkansas			Arkansas	12/29/2014  9:00 PM		
Jeremy	2	Russell Athletic	Orlando, Fla.	Clemson (9-3) vs. Oklahoma (8-4)	25	Clemson	Oklahoma			Clemson	12/29/2014  5:30 PM		
Jeremy	2	Liberty	Memphis, Tenn.	West Virginia (7-5) vs. Texas A&M (7-5)	24	West Virginia	Texas A&M			Texas A&M	12/29/2014  2:00 PM		
Jeremy	2	Holiday	San Diego, Calif.	Nebraska (9-3) vs. USC (8-4)	38	Nebraska	USC			USC	12/27/2014  8:00 PM		
Jeremy	2	Pinstripe	Bronx, N.Y.	Boston College (7-5) vs. Penn State (6-6)	13	Boston College	Penn State			Boston College	12/27/2014  4:30 PM		
Jeremy	2	Independence	Shreveport, La.	Miami (Fla.) (6-6) vs. South Carolina (6-6)	5	Miami (Fla.)	South Carolina			Miami (Fla.)	12/27/2014  4:00 PM		
Jeremy	2	Sun	El Paso, Texas	Duke (9-3) vs. Arizona State (9-3)	39	Duke	Arizona State			Arizona State	12/27/2014  2:00 PM		
Jeremy	2	Military	Annapolis, Md.	Virginia Tech (6-6) vs. Cincinnati (9-3)	12	Virginia Tech	Cincinnati			Cincinnati	12/27/2014  1:00 PM		
Jeremy	2	Bitcoin	St. Petersburg, Fla.	NC State (7-5) vs. UCF (9-3)	23	NC State	UCF			NC State	12/26/2014  8:00 PM		
Jeremy	2	Quick Lane	Detroit, Mich.	Rutgers (7-5) vs. North Carolina (6-6)	11	Rutgers	North Carolina			Rutgers	12/26/2014  4:30 PM		
Jeremy	2	Heart of Dallas	Dallas, Texas	Illinois (6-6) vs. Louisiana Tech (8-5)	28	Illinois	Louisiana Tech			Louisiana Tech	12/26/2014  1:00 PM		
Jeremy	2	Hawaii	Honolulu, Hawaii	Fresno State (6-7) vs. Rice (7-5)	10	Fresno State	Rice			Rice	12/24/2014  8:00 PM		
Jeremy	2	Bahamas	Nassau, Bahamas	Western Kentucky (7-5) vs. Central Michigan (7-5)	9	Western Kentucky	Central Michigan			Central Michigan	12/24/2014 12:00 PM		
Jeremy	2	Poinsettia	San Diego, Calif.	San Diego State (7-5) vs. Navy (6-5)	8	San Diego State	Navy			Navy	12/23/2014  9:30 PM	Navy	1
