name	GAME	LOCATION	MATCHUP	Confidence_Score	team1	team2	team3	team4	pick	game_time	winner	correct	score	rank	game_order
Jeremy	Cotton	Arlington, Texas	Baylor (11-1) vs. Michigan State (10-2)	15	Baylor	Michigan State			Baylor	1/1/2015 12:30 PM	Michigan State		0	1	30
Jeremy	Rose	Pasadena, Calif.	No. 2 Oregon (12-1) vs. No. 3 Florida State (13-0)	32	Oregon	Florida State			Oregon	1/1/2015  5:00 PM	Oregon		32	1	31
Jeremy	Sugar	New Orleans, La.	No. 1 Alabama (12-1) vs. No. 4 Ohio State (12-1)	33	Alabama	Ohio State			Alabama	1/1/2015  8:30 PM	Ohio State		0	1	32
Jeremy	Armed Forces	Fort Worth, Texas	Houston (7-5) vs. Pittsburgh (6-6)	4	Houston	Pittsburgh			Pittsburgh	1/2/2015 12:00 PM	Houston		0	1	33
Jeremy	TaxSlayer	Jacksonville, Fla.	Iowa (7-5) vs. Tennessee (6-6)	3	Iowa	Tennessee			Tennessee	1/2/2015  3:20 PM	Tennessee		3	1	34
Jeremy	Alamo	San Antonio, Texas	Kansas State (9-3) vs. UCLA (9-3)	19	Kansas State	UCLA			UCLA	1/2/2015  6:45 PM	UCLA		19	1	35
Jeremy	Cactus	Tempe, Ariz.	Oklahoma State (6-6) vs. Washington (8-5)	27	Oklahoma State	Washington			Washington	1/2/2015 10:15 PM	Oklahoma State		0	1	36
Jeremy	Birmingham	Birmingham, Ala.	Florida (6-5) vs. East Carolina (8-4)	18	Florida	East Carolina			Florida	1/3/2015 12:00 PM	Florida		18	1	37
Jeremy	GoDaddy	Mobile, Ala.	Toledo (8-4) vs. Arkansas State (7-5)	2	Toledo	Arkansas State			Toledo	1/4/2015  9:00 PM	Toledo		2	1	38
Jeremy	Championship	Arlington, Texas	Semifinal winners	1	Alabama	Oregon	Florida State	Ohio State	Florida State	1/12/2015  8:30 PM	Ohio State		0	1	39
Liz	New Orleans	New Orleans, La.	UL Lafayette (8-4) vs. Nevada (7-5)	5	UL Lafayette	Nevada			Nevada	12/20/2014 11:00 AM	UL Lafayette	0	0	2	1
Liz	New Mexico	Albuquerque, N.M.	Utah State (9-4) vs. UTEP (7-5)	7	Utah State	UTEP			Utah State	12/20/2014  2:20 PM	Utah State	1	7	2	2
Liz	Royal Purple	Las Vegas, Nev.	Colorado State (10-2) vs. Utah (8-4)	9	Colorado State	Utah			Colorado State	12/20/2014  3:30 PM	Utah	0	0	2	3
Liz	Idaho Potato	Boise, Idaho	Air Force (9-3) vs. Western Michigan (8-4)	10	Air Force	Western Michigan			Air Force	12/20/2014  5:45 PM	Air Force	1	10	2	4
Liz	Camellia	Montgomery, Ala.	Bowling Green (7-6) vs. South Alabama (6-6)	11	Bowling Green	South Alabama			Bowling Green	12/20/2014  9:15 PM	Bowling Green	1	11	2	5
Liz	Miami Beach	Miami, Fla.	Memphis (9-3) vs. BYU (8-4)	20	Memphis	BYU			BYU	12/22/2014  2:00 PM	Memphis	0	0	2	6
Liz	Boca Raton	Boca Raton, Fla.	Marshall (12-1) vs. Northern Illinois (11-2)	17	Marshall	Northern Illinois			Marshall	12/23/2014  6:00 PM	Marshall	1	17	2	7
Liz	Poinsettia	San Diego, Calif.	San Diego State (7-5) vs. Navy (6-5)	18	San Diego State	Navy			Navy	12/23/2014  9:30 PM	Navy	1	18	2	8
Liz	Bahamas	Nassau, Bahamas	Western Kentucky (7-5) vs. Central Michigan (7-5)	21	Western Kentucky	Central Michigan			Central Michigan	12/24/2014 12:00 PM	Western Kentucky	0	0	2	9
Liz	Hawaii	Honolulu, Hawaii	Fresno State (6-7) vs. Rice (7-5)	6	Fresno State	Rice			Rice	12/24/2014  8:00 PM	Rice	1	6	2	10
Liz	Heart of Dallas	Dallas, Texas	Illinois (6-6) vs. Louisiana Tech (8-5)	4	Illinois	Louisiana Tech			Louisiana Tech	12/26/2014  1:00 PM	Louisiana Tech	1	4	2	11
Liz	Quick Lane	Detroit, Mich.	Rutgers (7-5) vs. North Carolina (6-6)	25	Rutgers	North Carolina			Rutgers	12/26/2014  4:30 PM	Rutgers	1	25	2	12
Liz	Bitcoin	St. Petersburg, Fla.	NC State (7-5) vs. UCF (9-3)	19	NC State	UCF			NC State	12/26/2014  8:00 PM	NC State	1	19	2	13
Liz	Military	Annapolis, Md.	Virginia Tech (6-6) vs. Cincinnati (9-3)	24	Virginia Tech	Cincinnati			Cincinnati	12/27/2014  1:00 PM	Virginia Tech	0	0	2	14
Liz	Sun	El Paso, Texas	Duke (9-3) vs. Arizona State (9-3)	13	Duke	Arizona State			Duke	12/27/2014  2:00 PM	Arizona State	0	0	2	15
Liz	Independence	Shreveport, La.	Miami (Fla.) (6-6) vs. South Carolina (6-6)	2	Miami (Fla.)	South Carolina			South Carolina	12/27/2014  4:00 PM	South Carolina	1	2	2	16
Liz	Pinstripe	Bronx, N.Y.	Boston College (7-5) vs. Penn State (6-6)	8	Boston College	Penn State			Boston College	12/27/2014  4:30 PM	Penn State	0	0	2	17
Liz	Holiday	San Diego, Calif.	Nebraska (9-3) vs. USC (8-4)	1	Nebraska	USC			USC	12/27/2014  8:00 PM	USC	1	1	2	18
Liz	Liberty	Memphis, Tenn.	West Virginia (7-5) vs. Texas A&M (7-5)	22	West Virginia	Texas A&M			Texas A&M	12/29/2014  2:00 PM	Texas A&M	1	22	2	19
Liz	Russell Athletic	Orlando, Fla.	Clemson (9-3) vs. Oklahoma (8-4)	37	Clemson	Oklahoma			Clemson	12/29/2014  5:30 PM	Clemson	1	37	2	20
Liz	Texas	Houston, Texas	Texas (6-6) vs. Arkansas (6-6)	3	Texas	Arkansas			Arkansas	12/29/2014  9:00 PM	Arkansas		3	2	21
Liz	Music City	Nashville, Tenn.	Notre Dame (7-5) vs. LSU (8-4)	36	Notre Dame	LSU			LSU	12/30/2014  3:00 PM	Notre Dame		0	2	22
Liz	Belk	Charlotte, N.C.	Louisville (9-3) vs. Georgia (9-3)	12	Louisville	Georgia			Louisville	12/30/2014  6:45 PM	Georgia		0	2	23
Liz	Foster Farms	Santa Clara, Calif.	Maryland (7-5) vs. Stanford (7-5)	23	Maryland	Stanford			Stanford	12/30/2014 10:00 PM	Stanford		23	2	24
Liz	Peach	Atlanta, Ga.	TCU (11-1) vs. Ole Miss (9-3)	32	TCU	Ole Miss			TCU	12/31/2014 12:30 PM	TCU		32	2	25
Liz	Fiesta	Glendale, Ariz.	Arizona (10-3) vs. Boise State (11-2)	34	Arizona	Boise State			Arizona	12/31/2014  4:00 PM	Boise State		0	2	26
Liz	Orange	Miami, Fla.	Georgia Tech (10-3) vs. Mississippi State (10-2)	35	Georgia Tech	Mississippi State			Georgia Tech	12/31/2014  8:00 PM	Georgia Tech		35	2	27
Liz	Outback	Tampa, Fla.	Wisconsin (10-3) vs. Auburn (8-4)	26	Wisconsin	Auburn			Wisconsin	1/1/2015 12:00 PM	Wisconsin		26	2	28
Liz	Citrus	Orlando, Fla.	Minnesota (8-4) vs. Missouri (10-3)	14	Minnesota	Missouri			Minnesota	1/1/2015 12:30 PM	Missouri		0	2	29
Liz	Cotton	Arlington, Texas	Baylor (11-1) vs. Michigan State (10-2)	27	Baylor	Michigan State			Michigan State	1/1/2015 12:30 PM	Michigan State		27	2	30
Liz	Rose	Pasadena, Calif.	No. 2 Oregon (12-1) vs. No. 3 Florida State (13-0)	38	Oregon	Florida State			Oregon	1/1/2015  5:00 PM	Oregon		38	2	31
Liz	Sugar	New Orleans, La.	No. 1 Alabama (12-1) vs. No. 4 Ohio State (12-1)	28	Alabama	Ohio State			Ohio State	1/1/2015  8:30 PM	Ohio State		28	2	32
Liz	Armed Forces	Fort Worth, Texas	Houston (7-5) vs. Pittsburgh (6-6)	15	Houston	Pittsburgh			Houston	1/2/2015 12:00 PM	Houston		15	2	33
Liz	TaxSlayer	Jacksonville, Fla.	Iowa (7-5) vs. Tennessee (6-6)	30	Iowa	Tennessee			Iowa	1/2/2015  3:20 PM	Tennessee		0	2	34
Liz	Alamo	San Antonio, Texas	Kansas State (9-3) vs. UCLA (9-3)	29	Kansas State	UCLA			UCLA	1/2/2015  6:45 PM	UCLA		29	2	35
Liz	Cactus	Tempe, Ariz.	Oklahoma State (6-6) vs. Washington (8-5)	16	Oklahoma State	Washington			Washington	1/2/2015 10:15 PM	Oklahoma State		0	2	36
Liz	Birmingham	Birmingham, Ala.	Florida (6-5) vs. East Carolina (8-4)	31	Florida	East Carolina			East Carolina	1/3/2015 12:00 PM	Florida		0	2	37
Liz	GoDaddy	Mobile, Ala.	Toledo (8-4) vs. Arkansas State (7-5)	33	Toledo	Arkansas State			Toledo	1/4/2015  9:00 PM	Toledo		33	2	38
Liz	Championship	Arlington, Texas	Semifinal winners	39	Alabama	Oregon	Florida State	Ohio State	Ohio State	1/12/2015  8:30 PM	Ohio State		39	2	39
John	New Orleans	New Orleans, La.	UL Lafayette (8-4) vs. Nevada (7-5)	7	UL Lafayette	Nevada			Nevada	12/20/2014 11:00 AM	UL Lafayette	0	0	3	1
John	New Mexico	Albuquerque, N.M.	Utah State (9-4) vs. UTEP (7-5)	39	Utah State	UTEP			Utah State	12/20/2014  2:20 PM	Utah State	1	39	3	2
John	Royal Purple	Las Vegas, Nev.	Colorado State (10-2) vs. Utah (8-4)	22	Colorado State	Utah			Utah	12/20/2014  3:30 PM	Utah	1	22	3	3
John	Idaho Potato	Boise, Idaho	Air Force (9-3) vs. Western Michigan (8-4)	21	Air Force	Western Michigan			Air Force	12/20/2014  5:45 PM	Air Force	1	21	3	4
John	Camellia	Montgomery, Ala.	Bowling Green (7-6) vs. South Alabama (6-6)	19	Bowling Green	South Alabama			Bowling Green	12/20/2014  9:15 PM	Bowling Green	1	19	3	5
John	Miami Beach	Miami, Fla.	Memphis (9-3) vs. BYU (8-4)	1	Memphis	BYU			BYU	12/22/2014  2:00 PM	Memphis	0	0	3	6
John	Boca Raton	Boca Raton, Fla.	Marshall (12-1) vs. Northern Illinois (11-2)	14	Marshall	Northern Illinois			Marshall	12/23/2014  6:00 PM	Marshall	1	14	3	7
John	Poinsettia	San Diego, Calif.	San Diego State (7-5) vs. Navy (6-5)	20	San Diego State	Navy			Navy	12/23/2014  9:30 PM	Navy	1	20	3	8
John	Bahamas	Nassau, Bahamas	Western Kentucky (7-5) vs. Central Michigan (7-5)	35	Western Kentucky	Central Michigan			Western Kentucky	12/24/2014 12:00 PM	Western Kentucky	1	35	3	9
John	Hawaii	Honolulu, Hawaii	Fresno State (6-7) vs. Rice (7-5)	12	Fresno State	Rice			Fresno State	12/24/2014  8:00 PM	Rice	0	0	3	10
John	Heart of Dallas	Dallas, Texas	Illinois (6-6) vs. Louisiana Tech (8-5)	9	Illinois	Louisiana Tech			Illinois	12/26/2014  1:00 PM	Louisiana Tech	0	0	3	11
John	Quick Lane	Detroit, Mich.	Rutgers (7-5) vs. North Carolina (6-6)	4	Rutgers	North Carolina			Rutgers	12/26/2014  4:30 PM	Rutgers	1	4	3	12
John	Bitcoin	St. Petersburg, Fla.	NC State (7-5) vs. UCF (9-3)	6	NC State	UCF			NC State	12/26/2014  8:00 PM	NC State	1	6	3	13
John	Military	Annapolis, Md.	Virginia Tech (6-6) vs. Cincinnati (9-3)	25	Virginia Tech	Cincinnati			Cincinnati	12/27/2014  1:00 PM	Virginia Tech	0	0	3	14
John	Sun	El Paso, Texas	Duke (9-3) vs. Arizona State (9-3)	33	Duke	Arizona State			Arizona State	12/27/2014  2:00 PM	Arizona State	1	33	3	15
John	Independence	Shreveport, La.	Miami (Fla.) (6-6) vs. South Carolina (6-6)	18	Miami (Fla.)	South Carolina			South Carolina	12/27/2014  4:00 PM	South Carolina	1	18	3	16
John	Pinstripe	Bronx, N.Y.	Boston College (7-5) vs. Penn State (6-6)	8	Boston College	Penn State			Boston College	12/27/2014  4:30 PM	Penn State	0	0	3	17
John	Holiday	San Diego, Calif.	Nebraska (9-3) vs. USC (8-4)	27	Nebraska	USC			USC	12/27/2014  8:00 PM	USC	1	27	3	18
John	Liberty	Memphis, Tenn.	West Virginia (7-5) vs. Texas A&M (7-5)	11	West Virginia	Texas A&M			West Virginia	12/29/2014  2:00 PM	Texas A&M	0	0	3	19
John	Russell Athletic	Orlando, Fla.	Clemson (9-3) vs. Oklahoma (8-4)	10	Clemson	Oklahoma			Clemson	12/29/2014  5:30 PM	Clemson	1	10	3	20
John	Texas	Houston, Texas	Texas (6-6) vs. Arkansas (6-6)	26	Texas	Arkansas			Arkansas	12/29/2014  9:00 PM	Arkansas		26	3	21
John	Music City	Nashville, Tenn.	Notre Dame (7-5) vs. LSU (8-4)	37	Notre Dame	LSU			LSU	12/30/2014  3:00 PM	Notre Dame		0	3	22
John	Belk	Charlotte, N.C.	Louisville (9-3) vs. Georgia (9-3)	36	Louisville	Georgia			Georgia	12/30/2014  6:45 PM	Georgia		36	3	23
John	Foster Farms	Santa Clara, Calif.	Maryland (7-5) vs. Stanford (7-5)	38	Maryland	Stanford			Stanford	12/30/2014 10:00 PM	Stanford		38	3	24
John	Peach	Atlanta, Ga.	TCU (11-1) vs. Ole Miss (9-3)	28	TCU	Ole Miss			TCU	12/31/2014 12:30 PM	TCU		28	3	25
John	Fiesta	Glendale, Ariz.	Arizona (10-3) vs. Boise State (11-2)	13	Arizona	Boise State			Arizona	12/31/2014  4:00 PM	Boise State		0	3	26
John	Orange	Miami, Fla.	Georgia Tech (10-3) vs. Mississippi State (10-2)	32	Georgia Tech	Mississippi State			Mississippi State	12/31/2014  8:00 PM	Georgia Tech		0	3	27
John	Outback	Tampa, Fla.	Wisconsin (10-3) vs. Auburn (8-4)	31	Wisconsin	Auburn			Auburn	1/1/2015 12:00 PM	Wisconsin		0	3	28
John	Citrus	Orlando, Fla.	Minnesota (8-4) vs. Missouri (10-3)	17	Minnesota	Missouri			Missouri	1/1/2015 12:30 PM	Missouri		17	3	29
John	Cotton	Arlington, Texas	Baylor (11-1) vs. Michigan State (10-2)	15	Baylor	Michigan State			Baylor	1/1/2015 12:30 PM	Michigan State		0	3	30
John	Rose	Pasadena, Calif.	No. 2 Oregon (12-1) vs. No. 3 Florida State (13-0)	30	Oregon	Florida State			Oregon	1/1/2015  5:00 PM	Oregon		30	3	31
John	Sugar	New Orleans, La.	No. 1 Alabama (12-1) vs. No. 4 Ohio State (12-1)	29	Alabama	Ohio State			Alabama	1/1/2015  8:30 PM	Ohio State		0	3	32
John	Armed Forces	Fort Worth, Texas	Houston (7-5) vs. Pittsburgh (6-6)	16	Houston	Pittsburgh			Pittsburgh	1/2/2015 12:00 PM	Houston		0	3	33
John	TaxSlayer	Jacksonville, Fla.	Iowa (7-5) vs. Tennessee (6-6)	3	Iowa	Tennessee			Iowa	1/2/2015  3:20 PM	Tennessee		0	3	34
John	Alamo	San Antonio, Texas	Kansas State (9-3) vs. UCLA (9-3)	24	Kansas State	UCLA			UCLA	1/2/2015  6:45 PM	UCLA		24	3	35
John	Cactus	Tempe, Ariz.	Oklahoma State (6-6) vs. Washington (8-5)	34	Oklahoma State	Washington			Washington	1/2/2015 10:15 PM	Oklahoma State		0	3	36
John	Birmingham	Birmingham, Ala.	Florida (6-5) vs. East Carolina (8-4)	2	Florida	East Carolina			East Carolina	1/3/2015 12:00 PM	Florida		0	3	37
John	GoDaddy	Mobile, Ala.	Toledo (8-4) vs. Arkansas State (7-5)	23	Toledo	Arkansas State			Toledo	1/4/2015  9:00 PM	Toledo		23	3	38
John	Championship	Arlington, Texas	Semifinal winners	5	Alabama	Oregon	Florida State	Ohio State	Alabama	1/12/2015  8:30 PM	Ohio State		0	3	39
Joey	New Orleans	New Orleans, La.	UL Lafayette (8-4) vs. Nevada (7-5)	4	UL Lafayette	Nevada			Nevada	12/20/2014 11:00 AM	UL Lafayette	0	0	4	1
Joey	New Mexico	Albuquerque, N.M.	Utah State (9-4) vs. UTEP (7-5)	37	Utah State	UTEP			Utah State	12/20/2014  2:20 PM	Utah State	1	37	4	2
Joey	Royal Purple	Las Vegas, Nev.	Colorado State (10-2) vs. Utah (8-4)	14	Colorado State	Utah			Utah	12/20/2014  3:30 PM	Utah	1	14	4	3
Joey	Idaho Potato	Boise, Idaho	Air Force (9-3) vs. Western Michigan (8-4)	1	Air Force	Western Michigan			Western Michigan	12/20/2014  5:45 PM	Air Force	0	0	4	4
Joey	Camellia	Montgomery, Ala.	Bowling Green (7-6) vs. South Alabama (6-6)	10	Bowling Green	South Alabama			South Alabama	12/20/2014  9:15 PM	Bowling Green	0	0	4	5
Joey	Miami Beach	Miami, Fla.	Memphis (9-3) vs. BYU (8-4)	3	Memphis	BYU			Memphis	12/22/2014  2:00 PM	Memphis	1	3	4	6
Joey	Boca Raton	Boca Raton, Fla.	Marshall (12-1) vs. Northern Illinois (11-2)	39	Marshall	Northern Illinois			Marshall	12/23/2014  6:00 PM	Marshall	1	39	4	7
Joey	Poinsettia	San Diego, Calif.	San Diego State (7-5) vs. Navy (6-5)	9	San Diego State	Navy			San Diego State	12/23/2014  9:30 PM	Navy	0	0	4	8
Joey	Bahamas	Nassau, Bahamas	Western Kentucky (7-5) vs. Central Michigan (7-5)	17	Western Kentucky	Central Michigan			Western Kentucky	12/24/2014 12:00 PM	Western Kentucky	1	17	4	9
Joey	Hawaii	Honolulu, Hawaii	Fresno State (6-7) vs. Rice (7-5)	7	Fresno State	Rice			Rice	12/24/2014  8:00 PM	Rice	1	7	4	10
Joey	Heart of Dallas	Dallas, Texas	Illinois (6-6) vs. Louisiana Tech (8-5)	27	Illinois	Louisiana Tech			Louisiana Tech	12/26/2014  1:00 PM	Louisiana Tech	1	27	4	11
Joey	Quick Lane	Detroit, Mich.	Rutgers (7-5) vs. North Carolina (6-6)	18	Rutgers	North Carolina			North Carolina	12/26/2014  4:30 PM	Rutgers	0	0	4	12
Joey	Bitcoin	St. Petersburg, Fla.	NC State (7-5) vs. UCF (9-3)	5	NC State	UCF			UCF	12/26/2014  8:00 PM	NC State	0	0	4	13
Joey	Military	Annapolis, Md.	Virginia Tech (6-6) vs. Cincinnati (9-3)	12	Virginia Tech	Cincinnati			Cincinnati	12/27/2014  1:00 PM	Virginia Tech	0	0	4	14
Joey	Sun	El Paso, Texas	Duke (9-3) vs. Arizona State (9-3)	33	Duke	Arizona State			Arizona State	12/27/2014  2:00 PM	Arizona State	1	33	4	15
Joey	Independence	Shreveport, La.	Miami (Fla.) (6-6) vs. South Carolina (6-6)	22	Miami (Fla.)	South Carolina			Miami (Fla.)	12/27/2014  4:00 PM	South Carolina	0	0	4	16
Joey	Pinstripe	Bronx, N.Y.	Boston College (7-5) vs. Penn State (6-6)	6	Boston College	Penn State			Boston College	12/27/2014  4:30 PM	Penn State	0	0	4	17
Joey	Holiday	San Diego, Calif.	Nebraska (9-3) vs. USC (8-4)	29	Nebraska	USC			USC	12/27/2014  8:00 PM	USC	1	29	4	18
Joey	Liberty	Memphis, Tenn.	West Virginia (7-5) vs. Texas A&M (7-5)	21	West Virginia	Texas A&M			West Virginia	12/29/2014  2:00 PM	Texas A&M	0	0	4	19
Joey	Russell Athletic	Orlando, Fla.	Clemson (9-3) vs. Oklahoma (8-4)	16	Clemson	Oklahoma			Oklahoma	12/29/2014  5:30 PM	Clemson	0	0	4	20
Joey	Texas	Houston, Texas	Texas (6-6) vs. Arkansas (6-6)	26	Texas	Arkansas			Arkansas	12/29/2014  9:00 PM	Arkansas		26	4	21
Joey	Music City	Nashville, Tenn.	Notre Dame (7-5) vs. LSU (8-4)	31	Notre Dame	LSU			LSU	12/30/2014  3:00 PM	Notre Dame		0	4	22
Joey	Belk	Charlotte, N.C.	Louisville (9-3) vs. Georgia (9-3)	28	Louisville	Georgia			Georgia	12/30/2014  6:45 PM	Georgia		28	4	23
Joey	Foster Farms	Santa Clara, Calif.	Maryland (7-5) vs. Stanford (7-5)	38	Maryland	Stanford			Stanford	12/30/2014 10:00 PM	Stanford		38	4	24
Joey	Peach	Atlanta, Ga.	TCU (11-1) vs. Ole Miss (9-3)	15	TCU	Ole Miss			TCU	12/31/2014 12:30 PM	TCU		15	4	25
Joey	Fiesta	Glendale, Ariz.	Arizona (10-3) vs. Boise State (11-2)	19	Arizona	Boise State			Arizona	12/31/2014  4:00 PM	Boise State		0	4	26
Joey	Orange	Miami, Fla.	Georgia Tech (10-3) vs. Mississippi State (10-2)	34	Georgia Tech	Mississippi State			Mississippi State	12/31/2014  8:00 PM	Georgia Tech		0	4	27
