player	bowl	selection	confidence
Joel	Arizona	South Alabama	5
Derick	Birmingham	South Carolina	1
JPearce	Birmingham	South Carolina	8
Darryl	Birmingham	South Florida	39
Harper	Birmingham	South Florida	39
JHajdin	Birmingham	South Florida	33
Joel	Birmingham	South Florida	11
Joey	Birmingham	South Florida	36
Joel	New Orleans	Southern Miss	13
JPearce	New Orleans	Southern Miss	23
Darryl	Sun	Stanford	14
JHajdin	Sun	Stanford	6
Joel	Sun	Stanford	10
Joey	Sun	Stanford	15
JPearce	Sun	Stanford	24
Harper	Liberty	TCU	2
JHajdin	Liberty	TCU	8
Joel	Liberty	TCU	18
Joey	Liberty	TCU	18
Darryl	Military	Temple	33
JHajdin	Military	Temple	40
Joel	Military	Temple	28
Joey	Military	Temple	35
JPearce	Military	Temple	33
Harper	Music City	Tennessee	21
JHajdin	Music City	Tennessee	16
Darryl	Texas	Texas A&M	17
Harper	Texas	Texas A&M	18
Joel	Texas	Texas A&M	35
Joey	Texas	Texas A&M	25
JHajdin	New Mexico	Texas San Antonio	32
Joey	New Mexico	Texas San Antonio	10
Darryl	Camellia	Toledo	19
Derick	Camellia	Toledo	31
Joel	Camellia	Toledo	23
Darryl	Dollar General	Troy	24
Harper	Dollar General	Troy	23
Joel	Dollar General	Troy	21
Joey	Dollar General	Troy	19
Darryl	Miami Beach	Tulsa	37
Derick	Miami Beach	Tulsa	37
Harper	Miami Beach	Tulsa	40
JHajdin	Miami Beach	Tulsa	34
Joel	Miami Beach	Tulsa	37
Joey	Miami Beach	Tulsa	34
JPearce	Miami Beach	Tulsa	35
Darryl	Cure	Central Florida	25
Derick	Cure	Central Florida	8
Harper	Cure	Central Florida	26
Joel	Cure	Central Florida	22
JPearce	Cure	Central Florida	26
Derick	Rose	Southern Cal	17
Harper	Rose	Southern Cal	36
Darryl	Foster Farms	Utah	28
Derick	Foster Farms	Utah	18
Harper	Foster Farms	Utah	17
JHajdin	Foster Farms	Utah	27
Joel	Foster Farms	Utah	4
Joey	Foster Farms	Utah	29
JPearce	Foster Farms	Utah	30
Derick	Independence	Vanderbilt	13
Harper	Independence	Vanderbilt	15
JHajdin	Independence	Vanderbilt	19
Darryl	Belk	Virginia Tech	26
Derick	Belk	Virginia Tech	35
Harper	Belk	Virginia Tech	34
JHajdin	Belk	Virginia Tech	26
Joel	Belk	Virginia Tech	33
JPearce	Belk	Virginia Tech	25
Derick	Military	Wake Forest	12
Harper	Military	Wake Forest	3
Derick	Holiday	Washington St.	29
Harper	Holiday	Washington St.	28
Joey	Holiday	Washington St.	33
JPearce	Holiday	Washington St.	38
Derick	Russell Athletic	West Virginia	26
JHajdin	Russell Athletic	West Virginia	36
Joel	Russell Athletic	West Virginia	19
Joey	Russell Athletic	West Virginia	30
Derick	Boca Raton	Western Kentucky	25
JHajdin	Boca Raton	Western Kentucky	25
Joel	Boca Raton	Western Kentucky	29
Darryl	Cotton	Wisconsin	34
Derick	Cotton	Wisconsin	32
Harper	Cotton	Wisconsin	29
JHajdin	Cotton	Wisconsin	7
Joel	Cotton	Wisconsin	39
Joey	Cotton	Wisconsin	31
JPearce	Cotton	Wisconsin	37
Darryl	Poinsettia	Wyoming	2
Joel	Poinsettia	Wyoming	7
