player	bowl	selection	confidence
Darryl	Arizona	Air Force	35
Derick	Arizona	Air Force	22
Harper	Arizona	Air Force	32
JHajdin	Arizona	Air Force	41
Joey	Arizona	Air Force	39
JPearce	Arizona	Air Force	39
Darryl	Peach	Alabama	38
Derick	Championship	Alabama	33
Derick	Peach	Alabama	34
Harper	Peach	Alabama	41
JHajdin	Championship	Alabama	10
JHajdin	Peach	Alabama	39
Joel	Championship	Alabama	1
Joel	Peach	Alabama	40
Joey	Championship	Alabama	40
Joey	Peach	Alabama	41
JPearce	Championship	Alabama	18
JPearce	Peach	Alabama	41
Harper	Camellia	Appalachian St.	4
JHajdin	Camellia	Appalachian St.	15
Joey	Camellia	Appalachian St.	9
JPearce	Camellia	Appalachian St.	15
JHajdin	Cure	Arkansas St.	28
Joey	Cure	Arkansas St.	4
Joey	Belk	Arkansas	5
JHajdin	Heart of Dallas	Army	30
Joel	Heart of Dallas	Army	36
Joey	Heart of Dallas	Army	26
JPearce	Heart of Dallas	Army	29
Darryl	Sugar	Auburn	11
Harper	Sugar	Auburn	10
Joel	Sugar	Auburn	17
Joey	Sugar	Auburn	1
JPearce	Sugar	Auburn	2
Joel	Cactus	Baylor	6
Darryl	Cactus	Boise St.	30
Derick	Cactus	Boise St.	41
Harper	Cactus	Boise St.	24
JHajdin	Cactus	Boise St.	38
Joey	Cactus	Boise St.	32
JPearce	Cactus	Boise St.	36
Harper	Quick Lane	Boston College	22
Joel	Quick Lane	Boston College	32
Derick	Poinsettia	BYU	24
Harper	Poinsettia	BYU	38
JHajdin	Poinsettia	BYU	29
Joey	Poinsettia	BYU	27
JPearce	Poinsettia	BYU	27
Harper	Fiesta	Clemson	27
Harper	Championship	Clemson	1
Derick	Alamo	Colorado	7
Harper	Alamo	Colorado	9
JHajdin	Alamo	Colorado	11
Darryl	Potato	Colorado St.	40
Derick	Potato	Colorado St.	36
Joel	Potato	Colorado St.	30
Joey	Potato	Colorado St.	38
JPearce	Potato	Colorado St.	34
Darryl	Bahamas	Eastern Michigan	6
Harper	Bahamas	Eastern Michigan	16
Joel	Bahamas	Eastern Michigan	2
Joey	Bahamas	Eastern Michigan	13
Darryl	Outback	Florida	18
Derick	Outback	Florida	27
JHajdin	Outback	Florida	9
Joel	Outback	Florida	34
JPearce	Orange	Florida St.	1
Darryl	Liberty	Georgia	13
Derick	Liberty	Georgia	9
JPearce	Liberty	Georgia	17
Darryl	TaxSlayer	Georgia Tech	29
JHajdin	TaxSlayer	Georgia Tech	22
Joel	TaxSlayer	Georgia Tech	25
Joey	TaxSlayer	Georgia Tech	28
JPearce	TaxSlayer	Georgia Tech	21
Darryl	Hawaii	Hawaii	20
Harper	Hawaii	Hawaii	13
JHajdin	Hawaii	Hawaii	3
Joey	Hawaii	Hawaii	23
Harper	Las Vegas	Houston	31
JHajdin	Las Vegas	Houston	20
Joey	Las Vegas	Houston	24
Harper	Potato	Idaho	8
JHajdin	Potato	Idaho	35
Harper	Outback	Iowa	25
Joey	Outback	Iowa	7
JPearce	Outback	Iowa	9
Derick	Texas	Kansas St.	10
JHajdin	Texas	Kansas St.	12
JPearce	Texas	Kansas St.	5
Derick	TaxSlayer	Kentucky	6
Harper	TaxSlayer	Kentucky	6
Darryl	New Orleans	Louisiana Lafayette	7
Derick	New Orleans	Louisiana Lafayette	2
Harper	New Orleans	Louisiana Lafayette	11
JHajdin	New Orleans	Louisiana Lafayette	13
Joey	New Orleans	Louisiana Lafayette	3
Derick	Armed Forces	Louisiana Tech	21
JHajdin	Armed Forces	Louisiana Tech	5
Joey	Armed Forces	Louisiana Tech	14
JPearce	Armed Forces	Louisiana Tech	13
Darryl	Citrus	Louisville	15
Harper	Citrus	Louisville	19
JHajdin	Citrus	Louisville	1
JPearce	Citrus	Louisville	16
Derick	Citrus	LSU	19
Joel	Citrus	LSU	26
Joey	Citrus	LSU	12
Darryl	Quick Lane	Maryland	8
Derick	Quick Lane	Maryland	14
JHajdin	Quick Lane	Maryland	4
Joey	Quick Lane	Maryland	11
JPearce	Quick Lane	Maryland	6
Darryl	Boca Raton	Memphis	3
Harper	Boca Raton	Memphis	5
Joey	Boca Raton	Memphis	6
JPearce	Boca Raton	Memphis	14
Darryl	Russell Athletic	Miami (FL)	16
Harper	Russell Athletic	Miami (FL)	7
JPearce	Russell Athletic	Miami (FL)	19
Darryl	Orange	Michigan	27
Derick	Orange	Michigan	38
Harper	Orange	Michigan	37
JHajdin	Orange	Michigan	24
Joel	Orange	Michigan	8
Joey	Orange	Michigan	17
Derick	Hawaii	Middle Tennessee	30
Joel	Hawaii	Middle Tennessee	15
JPearce	Hawaii	Middle Tennessee	3
Darryl	Holiday	Minnesota	4
JHajdin	Holiday	Minnesota	21
Joel	Holiday	Minnesota	12
Darryl	St. Petersburg	Mississippi St.	41
Derick	St. Petersburg	Mississippi St.	40
Harper	St. Petersburg	Mississippi St.	30
JHajdin	St. Petersburg	Mississippi St.	37
Joel	St. Petersburg	Mississippi St.	31
Joey	St. Petersburg	Mississippi St.	37
JPearce	St. Petersburg	Mississippi St.	40
Darryl	Armed Forces	Navy	23
Harper	Armed Forces	Navy	33
Joel	Armed Forces	Navy	14
Darryl	Independence	NC State	32
Joel	Independence	NC State	3
Joey	Independence	NC State	21
JPearce	Independence	NC State	11
Darryl	Music City	Nebraska	9
Derick	Music City	Nebraska	16
Joel	Music City	Nebraska	41
Joey	Music City	Nebraska	8
JPearce	Music City	Nebraska	20
Darryl	New Mexico	New Mexico	36
Derick	New Mexico	New Mexico	23
Harper	New Mexico	New Mexico	35
Joel	New Mexico	New Mexico	38
JPearce	New Mexico	New Mexico	32
Derick	Sun	North Carolina	15
Harper	Sun	North Carolina	20
Darryl	Heart of Dallas	North Texas	1
Derick	Heart of Dallas	North Texas	11
Harper	Heart of Dallas	North Texas	12
Joel	Pinstripe	Northwestern	20
Derick	Dollar General	Ohio	3
JHajdin	Dollar General	Ohio	23
JPearce	Dollar General	Ohio	4
Darryl	Fiesta	Ohio St.	22
Darryl	Championship	Ohio St.	21
Derick	Fiesta	Ohio St.	5
JHajdin	Fiesta	Ohio St.	14
Joel	Fiesta	Ohio St.	24
Joey	Fiesta	Ohio St.	22
JPearce	Fiesta	Ohio St.	22
Derick	Sugar	Oklahoma	39
JHajdin	Sugar	Oklahoma	31
Darryl	Alamo	Oklahoma St.	12
Joel	Alamo	Oklahoma St.	27
Joey	Alamo	Oklahoma St.	20
JPearce	Alamo	Oklahoma St.	12
Derick	Bahamas	Old Dominion	20
JHajdin	Bahamas	Old Dominion	17
JPearce	Bahamas	Old Dominion	31
Darryl	Rose	Penn St.	10
JHajdin	Rose	Penn St.	2
Joel	Rose	Penn St.	9
Joey	Rose	Penn St.	2
JPearce	Rose	Penn St.	7
Darryl	Pinstripe	Pittsburgh	31
Derick	Pinstripe	Pittsburgh	28
Harper	Pinstripe	Pittsburgh	14
JHajdin	Pinstripe	Pittsburgh	18
Joey	Pinstripe	Pittsburgh	16
JPearce	Pinstripe	Pittsburgh	28
Darryl	Las Vegas	San Diego St.	5
Derick	Las Vegas	San Diego St.	4
Joel	Las Vegas	San Diego St.	16
JPearce	Las Vegas	San Diego St.	10
