player	bowl	selection	confidence
Caroline	Alamo	Utah	35
Caroline	Arizona	Georgia St.	14
Caroline	Armed Forces	Tulane	20
Caroline	Bahamas	Charlotte	6
Caroline	Belk	Virginia Tech	17
Caroline	Birmingham	Boston College	8
Caroline	Boca Raton	Florida Atlantic	2
Caroline	Camellia	Arkansas St.	4
Caroline	Camping World	Notre Dame	16
Caroline	Cheez-It	Washington St.	7
Caroline	Citrus	Alabama	18
Caroline	Cotton	Penn St.	27
Caroline	Cure	Georgia Southern	25
Caroline	Fiesta	Clemson	38
Caroline	First Responder	Western Michigan	9
Caroline	Frisco	Utah St.	13
Caroline	Gasparilla	Central Florida	34
Caroline	Gator	Indiana	10
Caroline	Hawaii	Hawaii	24
Caroline	Holiday	USC	15
Caroline	Idaho Potato	Ohio	29
Caroline	Independence	Miami (FL)	12
Caroline	Las Vegas	Boise St. 	3
Caroline	Lending Tree	Louisiana	28
Caroline	Liberty	Navy	21
Caroline	Military	North Carolina	23
Caroline	Music City	Louisville	22
Caroline	Championship	LSU	40
Caroline	New Mexico	Central Michigan	5
Caroline	New Orleans	Appalachian St.	36
Caroline	Orange	Florida	33
Caroline	Outback	Minnesota	30
Caroline	Peach	LSU	39
Caroline	Pinstripe	Michigan St.	26
Caroline	Quick Lane	Pittsburgh	32
Caroline	Redbox	Illinois	1
Caroline	Rose	Oregon	19
Caroline	Sugar	Georgia	37
Caroline	Texas	Texas A&M	11
Caroline	Sun	Arizona St.	31
Derick	Alamo	Utah	20
Derick	Arizona	Georgia St.	9
Derick	Armed Forces	Tulane	25
Derick	Bahamas	Charlotte	13
Derick	Belk	Kentucky	22
Derick	Birmingham	Cincinnati	23
Derick	Boca Raton	Southern Methodist	2
Derick	Camellia	Arkansas St.	6
Derick	Camping World	Notre Dame	28
Derick	Cheez-It	Washington St.	7
Derick	Citrus	Michigan	4
Derick	Cotton	Memphis	8
Derick	Cure	Georgia Southern	32
Derick	Fiesta	Clemson	38
Derick	First Responder	Western Kentucky	5
Derick	Frisco	Utah St.	18
Derick	Gasparilla	Central Florida	29
Derick	Gator	Tennessee	36
Derick	Hawaii	Hawaii	16
Derick	Holiday	USC	14
Derick	Idaho Potato	Ohio	11
Derick	Independence	Louisiana Tech	27
Derick	Las Vegas	Washington	19
Derick	Lending Tree	Louisiana	34
Derick	Liberty	Kansas St.	12
Derick	Military	North Carolina	15
Derick	Music City	Louisville	21
Derick	Championship	Clemson	40
Derick	New Mexico	San Diego St.	3
Derick	New Orleans	Appalachian St.	35
Derick	Orange	Florida	33
Derick	Outback	Auburn	10
Derick	Peach	LSU	39
Derick	Pinstripe	Wake Forest	17
Derick	Quick Lane	Eastern Michigan	1
Derick	Redbox	Illinois	24
Derick	Rose	Oregon	30
Derick	Sugar	Georgia	31
Derick	Texas	Texas A&M	37
Derick	Sun	Florida St.	26
Harper	Alamo	Utah	29
Harper	Arizona	Georgia St.	3
Harper	Armed Forces	Tulane	26
Harper	Bahamas	Buffalo	21
Harper	Belk	Virginia Tech	17
Harper	Birmingham	Cincinnati	28
Harper	Boca Raton	Florida Atlantic	10
Harper	Camellia	Florida International	11
Harper	Camping World	Iowa St.	13
Harper	Cheez-It	Washington St.	12
Harper	Citrus	Michigan	4
Harper	Cotton	Penn St.	31
Harper	Cure	Georgia Southern	23
Harper	Fiesta	Clemson	38
Harper	First Responder	Western Michigan	14
Harper	Frisco	Utah St.	24
Harper	Gasparilla	Central Florida	36
Harper	Gator	Indiana	9
Harper	Hawaii	Hawaii	6
Harper	Holiday	Iowa	16
Harper	Idaho Potato	Ohio	25
Harper	Independence	Louisiana Tech	2
Harper	Las Vegas	Washington	19
Harper	Lending Tree	Louisiana	35
Harper	Liberty	Navy	8
Harper	Military	North Carolina	30
Harper	Music City	Louisville	7
Harper	Championship	Clemson	40
Harper	New Mexico	San Diego St.	20
Harper	New Orleans	Appalachian St.	37
Harper	Orange	Florida	34
Harper	Outback	Auburn	32
Harper	Peach	LSU	39
Harper	Pinstripe	Michigan St.	18
Harper	Quick Lane	Pittsburgh	22
Harper	Redbox	California	27
Harper	Rose	Oregon	15
Harper	Sugar	Baylor	1
Harper	Texas	Oklahoma St.	5
Harper	Sun	Arizona St.	33
JBrown	Alamo	Utah	19
JBrown	Arizona	Wyoming	11
JBrown	Armed Forces	Tulane	28
JBrown	Bahamas	Buffalo	12
JBrown	Belk	Virginia Tech	30
JBrown	Birmingham	Cincinnati	20
JBrown	Boca Raton	Florida Atlantic	6
JBrown	Camellia	Arkansas St.	2
JBrown	Camping World	Notre Dame	10
JBrown	Cheez-It	Washington St.	21
JBrown	Citrus	Alabama	31
JBrown	Cotton	Penn St.	29
JBrown	Cure	Liberty	18
JBrown	Fiesta	Ohio St.	38
JBrown	First Responder	Western Michigan	4
JBrown	Frisco	Utah St.	13
JBrown	Gasparilla	Central Florida	35
JBrown	Gator	Indiana	5
JBrown	Hawaii	BYU	7
JBrown	Holiday	Iowa	3
JBrown	Idaho Potato	Ohio	33
JBrown	Independence	Miami (FL)	14
JBrown	Las Vegas	Washington	8
JBrown	Lending Tree	Louisiana	34
JBrown	Liberty	Navy	1
JBrown	Military	Temple	22
JBrown	Music City	Mississippi St.	23
JBrown	Championship	LSU	40
JBrown	New Mexico	San Diego St.	17
JBrown	New Orleans	Appalachian St.	37
JBrown	Orange	Virginia	24
JBrown	Outback	Auburn	26
JBrown	Peach	LSU	39
JBrown	Pinstripe	Wake Forest	16
JBrown	Quick Lane	Eastern Michigan	15
JBrown	Redbox	Illinois	36
JBrown	Rose	Oregon	27
JBrown	Sugar	Georgia	32
JBrown	Texas	Texas A&M	9
JBrown	Sun	Florida St.	25
Jeremy	Alamo	Utah	28
Jeremy	Arizona	Georgia St.	5
Jeremy	Armed Forces	Tulane	31
Jeremy	Bahamas	Buffalo	25
Jeremy	Belk	Virginia Tech	11
Jeremy	Birmingham	Cincinnati	27
Jeremy	Boca Raton	Southern Methodist	20
Jeremy	Camellia	Arkansas St.	19
Jeremy	Camping World	Notre Dame	22
Jeremy	Cheez-It	Washington St.	10
Jeremy	Citrus	Alabama	30
Jeremy	Cotton	Memphis	4
Jeremy	Cure	Liberty	6
Jeremy	Fiesta	Clemson	38
Jeremy	First Responder	Western Kentucky	16
Jeremy	Frisco	Utah St.	32
Jeremy	Gasparilla	Central Florida	36
Jeremy	Gator	Tennessee	15
Jeremy	Hawaii	Hawaii	13
Jeremy	Holiday	Iowa	17
Jeremy	Idaho Potato	Ohio	29
Jeremy	Independence	Louisiana Tech	3
Jeremy	Las Vegas	Washington	18
Jeremy	Lending Tree	Louisiana	35
Jeremy	Liberty	Navy	14
Jeremy	Military	North Carolina	26
Jeremy	Music City	Louisville	21
Jeremy	Championship	LSU	40
Jeremy	New Mexico	Central Michigan	7
Jeremy	New Orleans	Appalachian St.	37
Jeremy	Orange	Florida	12
Jeremy	Outback	Minnesota	2
Jeremy	Peach	LSU	39
Jeremy	Pinstripe	Wake Forest	9
Jeremy	Quick Lane	Pittsburgh	34
Jeremy	Redbox	California	8
Jeremy	Rose	Oregon	1
Jeremy	Sugar	Georgia	33
Jeremy	Texas	Texas A&M	23
Jeremy	Sun	Arizona St.	24
JHajdin	Alamo	Texas	24
JHajdin	Arizona	Wyoming	30
JHajdin	Armed Forces	Southern Miss	25
JHajdin	Bahamas	Buffalo	19
JHajdin	Belk	Virginia Tech	7
JHajdin	Birmingham	Cincinnati	31
JHajdin	Boca Raton	Florida Atlantic	11
JHajdin	Camellia	Florida International	10
JHajdin	Camping World	Notre Dame	13
JHajdin	Cheez-It	Air Force	8
JHajdin	Citrus	Alabama	37
JHajdin	Cotton	Penn St.	32
JHajdin	Cure	Georgia Southern	20
JHajdin	Fiesta	Ohio St.	38
JHajdin	First Responder	Western Michigan	4
JHajdin	Frisco	Utah St.	28
JHajdin	Gasparilla	Central Florida	35
JHajdin	Gator	Indiana	1
JHajdin	Hawaii	Hawaii	3
JHajdin	Holiday	USC	5
JHajdin	Idaho Potato	Ohio	23
JHajdin	Independence	Louisiana Tech	22
JHajdin	Las Vegas	Washington	9
JHajdin	Lending Tree	Louisiana	34
JHajdin	Liberty	Navy	16
JHajdin	Military	North Carolina	21
JHajdin	Music City	Mississippi St.	12
JHajdin	Championship	Ohio St.	40
JHajdin	New Mexico	Central Michigan	17
JHajdin	New Orleans	Appalachian St.	36
JHajdin	Orange	Florida	33
JHajdin	Outback	Auburn	29
JHajdin	Peach	LSU	39
JHajdin	Pinstripe	Wake Forest	14
JHajdin	Quick Lane	Pittsburgh	26
JHajdin	Redbox	Illinois	15
JHajdin	Rose	Wisconsin	6
JHajdin	Sugar	Georgia	27
JHajdin	Texas	Oklahoma St.	2
JHajdin	Sun	Arizona St.	18
Joel	Alamo	Utah	32
Joel	Arizona	Wyoming	21
Joel	Armed Forces	Tulane	25
Joel	Bahamas	Buffalo	28
Joel	Belk	Virginia Tech	5
Joel	Birmingham	Cincinnati	26
Joel	Boca Raton	Florida Atlantic	16
Joel	Camellia	Arkansas St.	4
Joel	Camping World	Iowa St.	13
Joel	Cheez-It	Air Force	15
Joel	Citrus	Alabama	37
Joel	Cotton	Penn St.	31
Joel	Cure	Liberty	29
Joel	Fiesta	Ohio St.	39
Joel	First Responder	Western Kentucky	3
Joel	Frisco	Utah St.	33
Joel	Gasparilla	Central Florida	36
Joel	Gator	Tennessee	12
Joel	Hawaii	BYU	17
Joel	Holiday	USC	8
Joel	Idaho Potato	Nevada	6
Joel	Independence	Louisiana Tech	23
Joel	Las Vegas	Boise St. 	9
Joel	Lending Tree	Louisiana	35
Joel	Liberty	Navy	7
Joel	Military	North Carolina	30
Joel	Music City	Louisville	19
Joel	Championship	Ohio St.	40
Joel	New Mexico	San Diego St.	22
Joel	New Orleans	UAB	10
Joel	Orange	Florida	24
Joel	Outback	Minnesota	11
Joel	Peach	LSU	38
Joel	Pinstripe	Wake Forest	14
Joel	Quick Lane	Pittsburgh	34
Joel	Redbox	California	2
Joel	Rose	Wisconsin	20
Joel	Sugar	Georgia	27
Joel	Texas	Oklahoma St.	18
Joel	Sun	Arizona St.	1
Joey	Alamo	Utah	24
Joey	Arizona	Wyoming	26
Joey	Armed Forces	Southern Miss	5
Joey	Bahamas	Buffalo	33
Joey	Belk	Virginia Tech	21
